,,Number of deaths,Number of deaths,Number of deaths,,,,
,, Injuries, Injuries, Injuries,,,,
Region,Year, 0-27 days, 1-59 months, 0-4 years,,,,
Africa Region,2016,10291,154805,165097,,,,
Africa Region,2015,10263,157064,167327,,,,
Africa Region,2014,10281,157695,167976,,,,
Africa Region,2013,10309,153198,163507,,,,
Africa Region,2012,10435,149234,159669,,,,
Africa Region,2011,10468,146121,156589,,,,
Africa Region,2010,10407,141789,152196,,,,
Africa Region,2009,10359,137508,147867,,,,
Africa Region,2008,10304,133197,143502,,,,
Africa Region,2007,10245,131183,141427,,,, 
Africa Region,2006,10169,129037,139205,,,,
Africa Region,2005,10110,125697,135807,,,,
Africa Region,2004,10219,124752,134971,,,,
Africa Region,2003,10271,123936,134207,,,,
Africa Region,2002,10277,123927,134203,,,,
Africa Region,2001,10232,122775,133007,,,,
Africa Region,2000,10149,122117,132266,,,,
Region of the Americas,2016,1171,15506,16677,,,,
Region of the Americas,2015,1198,16298,17496,,,,
Region of the Americas,2014,1192,16477,17669,,,,
Region of the Americas,2013,1320,16872,18192,,,,
Region of the Americas,2012,1297,17595,18892,,,,
Region of the Americas,2011,1336,18098,19434,,,,
Region of the Americas,2010,1295,53256,54550,,,,
Region of the Americas,2009,1378,19229,20607,,,,
Region of the Americas,2008,1332,19682,21014,,,,
Region of the Americas,2007,1344,20746,22090,,,,
Region of the Americas,2006,1511,21567,23078,,,,
Region of the Americas,2005,1521,22057,23578,,,,
Region of the Americas,2004,1740,22601,24341,,,,
Region of the Americas,2003,1655,22976,24630,,,,
Region of the Americas,2002,1781,24618,26399,,,,
Region of the Americas,2001,1798,25186,26984,,,,
Region of the Americas,2000,1825,25991,27816,,,,
South-East Asia Region,2016,7092,55279,62371,,,,
South-East Asia Region,2015,7381,58804,66185,,,,
South-East Asia Region,2014,7848,60538,68387,,,,
South-East Asia Region,2013,8360,63972,72332,,,,
South-East Asia Region,2012,8946,66632,75579,,,,
South-East Asia Region,2011,9430,70760,80190,,,,
South-East Asia Region,2010,9960,74274,84233,,,,
South-East Asia Region,2009,10474,78350,88823,,,,
South-East Asia Region,2008,10961,103034,113996,,,,
South-East Asia Region,2007,11425,85378,96803,,,,
South-East Asia Region,2006,11862,88825,100687,,,,
South-East Asia Region,2005,12252,92256,104508,,,,
