,,Out-of-pocket expenditure as a percentage of total expenditure on health,Out-of-pocket expenditure as a percentage of total expenditure on health,Out-of-pocket expenditure as a percentage of total expenditure on health,Out-of-pocket expenditure as a percentage of total expenditure on health,Out-of-pocket expenditure as a percentage of total expenditure on health
Country,Data Source,2014,2013,2012,2011,2010
Afghanistan, Afghanistan note,63.88,67.13,65.43,73.26,68.7
Albania,  ,49.93,49.7,50.89,49.99,53.41
Algeria,  ,26.5,26.44,25.7,27.87,28.88
Andorra,  ,15.94,11.29,17.31,19.24,15.94
Angola,  ,23.96,18.59,23.98,24.99,27.75
Antigua and Barbuda, Antigua and Barbuda note,23.69,24.38,24.14,23.01,23.1
Argentina, Argentina note,30.73,30.19,26.87,23.03,22
Armenia,  ,53.51,53.69,54.57,47.05,55.87
Australia, Australia note,18.82,18.83,18.74,17.94,18.58
Austria,  ,16.15,16.24,16.34,16.68,16.58
Azerbaijan, Azerbaijan note,72.08,71.06,69.02,69.83,69.18
Bahamas,  ,29.23,30.41,30.02,28.7,28.86
Bahrain, Bahrain note,23.34,24.5,25.21,18.03,17.63
Bangladesh, Bangladesh note,66.98,66.84,63.3,61.32,60.97
Barbados,  ,29.87,28.87,28.52,30.86,28.19
Belarus,  ,32.03,30.69,19.46,26.64,19.85
Belgium,  ,17.81,17.85,17.78,18.73,17.93
Belize, Belize note,23.01,24.26,23.99,23.4,23.65
Benin,  ,39.1,39.68,38.84,35.88,38.89
Bhutan, Bhutan note,25.33,25.23,25.69,11.79,11.49
Bolivia (Plurinational State of), Bolivia (Plurinational State of) note,23.11,24.35,25.9,25.27,27.9
Bosnia and Herzegovina,  ,27.93,29.04,27.81,27.81,28.3
Botswana,  ,5.19,5.06,4.68,4.85,4.44
Brazil,  ,25.47,25.76,26.9,26.85,27.32
Brunei Darussalam, Brunei Darussalam note,6.01,7.68,8,7.8,7.63
Bulgaria,  ,44.19,46.8,42.52,43.91,42.88
Burkina Faso,  ,39.09,33.65,38.01,42.77,32.91
Burundi, Burundi note,21.02,20.21,21.92,25.8,26.26
Côte d'Ivoire,  ,50.81,49.63,52.34,57.48,56.48
Cabo Verde,  ,22.24,24.01,24.33,24.25,26.01
Cambodia, Cambodia note,74.19,73.1,70.96,61.21,60.27
Cameroon, Cameroon note,66.31,65.7,64.84,48.7,67.66
Canada,  ,13.6,13.64,13.74,14,14.58
Central African Republic, Central African Republic note,46.22,45.19,46.31,45.87,44.59
Chad, Chad note,39.15,41.5,45.42,44.51,51.35
Chile,  ,31.52,32.32,32.64,33.54,33.66
China, China note,31.99,33.88,34.34,34.77,35.29
Colombia, Colombia note,15.36,13.79,14.55,15.63,17.76
Comoros,  ,45.06,46.46,42.12,48.88,35.99
Congo,  ,17.51,19.55,19.97,27.97,37.24
Cook Islands, Cook Islands note,9.88,9.5,9.2,9.02,6.84
Costa Rica, Costa Rica note,24.87,24.53,24.36,24.13,24.03
Croatia,  ,11.21,11.25,11.47,12.06,13.76
Cuba,  ,4.39,5.48,5.85,4.96,4.81
Cyprus, Cyprus note,48.71,46.97,47.04,44.84,45.37
Czechia,  ,14.33,14.53,15.03,14.74,14.86
Democratic Republic of the Congo, Democratic Republic of the Congo note,38.77,39.39,37.69,38.82,37.11
Denmark,  ,13.36,12.89,12.44,12.82,13.19
Djibouti,  ,35.84,41.44,40.9,42.05,41.43
Dominica,  ,28.34,28.67,28.21,26.51,26.27
Dominican Republic, Dominican Republic note,21.14,25.02,26.08,28.63,33.24
Ecuador, Ecuador note,48.43,44.32,50.64,45.94,47.47
Egypt,  ,55.66,56.15,57.59,56.67,58.38
El Salvador, El Salvador note,28.85,28.44,32.39,32.07,33.61
Equatorial Guinea, Equatorial Guinea note,20.15,17.85,14.25,17.94,17.63
Eritrea, Eritrea note,54.24,54.24,53.5,54.01,56.03
Estonia,  ,20.72,20.26,19.15,17.56,18.57
Ethiopia,  ,32.26,33.37,33.18,31.76,33.7
Fiji, Fiji note,23,20.6,21.73,22,19.66
Finland,  ,18.23,18.19,18.04,18.81,19.31
France, France note,6.34,6.35,6.51,6.69,7.45
Gabon,  ,21.87,20.85,21.02,23.17,18.39
Gambia,  ,17.05,19.45,21.02,20.98,20.94
Georgia, Georgia note,58.58,61.05,62.41,64.89,69.11
Germany, Germany note,13.2,13.2,13.83,13.78,13.75
Ghana, Ghana note,26.84,19.92,26.6,16.15,18.44
Greece,  ,34.86,30.67,28.84,28.71,29.36
Grenada,  ,50.93,52.01,50.34,50.4,49.95
Guatemala, Guatemala note,52.22,52.6,55.42,55.62,54.61
Guinea,  ,45.33,49.89,53.74,51.2,49.03
Guinea-Bissau, Guinea-Bissau note,49.49,45.76,46.88,48.07,42.44
Guyana,  ,37.44,39.85,31.31,30.24,29.96
Haiti, Haiti note,34.82,32.37,27.82,25.63,33.52
Honduras,  ,43.46,45.63,49.25,50.24,47.24
Hungary,  ,26.59,27.33,28.48,27.31,26.43
Iceland,  ,17.48,17.8,17.99,17.98,18.21
India, India note,62.42,63.81,64.88,64.43,63.37
Indonesia,  ,46.87,45.63,45.35,47.39,47.21
