Country Name,Country Code,Region,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,AFG,South Asia,8.81605343,8.78670722,8.06810435,7.43397155,6.72831635,8.32809334,9.41897064,9.19772273,7.87199189,8.51891268,8.13486556,8.18227382
Angola,AGO,Sub-Saharan Africa,4.40528442,4.70732007,4.10396002,4.54243749,3.38311163,3.84493395,4.37177378,3.39114609,3.3795827,3.30479422,4.26303169,3.30698293
Albania,ALB,Europe & Central Asia,6.26700723,6.37953469,6.11631076,5.86129625,6.10393525,5.86941616,5.79133946,5.33503501,5.71466526,5.58917285,5.65513948,5.88310543
Andorra,AND,Europe & Central Asia,5.74503291,5.70388241,5.22335314,5.31389324,6.33545578,6.5674086,6.75968963,7.99926652,6.70379149,7.54733741,11.4780464,8.12713561
Arab World,ARB,Middle East & North Africa,4.201716459,3.938217267,3.57556927,3.525856125,3.619370957,3.531418824,4.57113645,4.161817744,4.096060617,4.399206649,4.665016506,4.875496496
United Arab Emirates,ARE,Middle East & North Africa,2.64640737,2.46216142,2.32021865,2.32534364,2.56564188,2.92853487,4.04992386,3.92945183,3.7038587,3.44599956,3.48564353,3.64398564
Argentina,ARG,Latin America & Caribbean,8.21606274,6.84056093,6.84561938,6.68187054,6.49458405,6.66371839,7.63475841,6.55015616,5.89274265,5.01904817,4.98687258,4.78591616
Armenia,ARM,Europe & Central Asia,5.56388068,5.50118169,5.25211644,4.57775072,4.30883082,3.79932298,4.54532341,4.56226302,3.71354097,4.48215825,4.55022679,4.48014942
Antigua and Barbuda,ATG,Latin America & Caribbean,4.53434099,4.20698542,4.41010035,4.34002161,4.26972324,4.69201433,4.86206202,5.6285144,5.64852918,5.38593825,5.33222783,5.54168311
Australia,AUS,East Asia & Pacific,8.31845119,8.57432053,8.45389263,8.49118995,8.5306305,8.78349607,9.04605596,9.01527191,9.19934655,9.35738514,9.36373848,9.42230024
