,2015,2015,2015,2015,2015,2015,2014,2014,2014,2014,2014,2014,2013,2013,2013,2013,2013,2013,2012,2012,2012,2012,2012,2012,2011,2011,2011,2011,2011,2011,2010,2010,2010,2010,2010,2010,2009,2009,2009,2009,2009,2009,2008,2008,2008,2008,2008,2008,2007,2007,2007,2007,2007,2007,2006,2006,2006,2006,2006,2006,2005,2005,2005,2005,2005,2005,2004,2004,2004,2004,2004,2004,2003,2003,2003,2003,2003,2003,2002,2002,2002,2002,2002,2002,2001,2001,2001,2001,2001,2001,2000,2000,2000,2000,2000,2000
, Population using at least basic sanitation services (%), Population using at least basic sanitation services (%), Population using at least basic sanitation services (%), Population using safely managed sanitation services (%), Population using safely managed sanitation services (%), Population using safely managed sanitation services (%), Population using at least basic sanitation services (%), Population using at least basic sanitation services (%), Population using at least basic sanitation services (%), Population using safely managed sanitation services (%), Population using safely managed sanitation services (%), Population using safely managed sanitation services (%), Population using at least basic sanitation services (%), Population using at least basic sanitation services (%), Population using at least basic sanitation services (%), Population using safely managed sanitation services (%), Population using safely managed sanitation services (%), Population using safely managed sanitation services (%), Population using at least basic sanitation services (%), Population using at least basic sanitation services (%), Population using at least basic sanitation services (%), Population using safely managed sanitation services (%), Population using safely managed sanitation services (%), Population using safely managed sanitation services (%), Population using at least basic sanitation services (%), Population using at least basic sanitation services (%), Population using at least basic sanitation services (%), Population using safely managed sanitation services (%), Population using safely managed sanitation services (%), Population using safely managed sanitation services (%), Population using at least basic sanitation services (%), Population using at least basic sanitation services (%), Population using at least basic sanitation services (%), Population using safely managed sanitation services (%), Population using safely managed sanitation services (%), Population using safely managed sanitation services (%), Population using at least basic sanitation services (%), Population using at least basic sanitation services (%), Population using at least basic sanitation services (%), Population using safely managed sanitation services (%), Population using safely managed sanitation services (%), Population using safely managed sanitation services (%), Population using at least basic sanitation services (%), Population using at least basic sanitation services (%), Population using at least basic sanitation services (%), Population using safely managed sanitation services (%), Population using safely managed sanitation services (%), Population using safely managed sanitation services (%), Population using at least basic sanitation services (%), Population using at least basic sanitation services (%), Population using at least basic sanitation services (%), Population using safely managed sanitation services (%), Population using safely managed sanitation services (%), Population using safely managed sanitation services (%), Population using at least basic sanitation services (%), Population using at least basic sanitation services (%), Population using at least basic sanitation services (%), Population using safely managed sanitation services (%), Population using safely managed sanitation services (%), Population using safely managed sanitation services (%), Population using at least basic sanitation services (%), Population using at least basic sanitation services (%), Population using at least basic sanitation services (%), Population using safely managed sanitation services (%), Population using safely managed sanitation services (%), Population using safely managed sanitation services (%), Population using at least basic sanitation services (%), Population using at least basic sanitation services (%), Population using at least basic sanitation services (%), Population using safely managed sanitation services (%), Population using safely managed sanitation services (%), Population using safely managed sanitation services (%), Population using at least basic sanitation services (%), Population using at least basic sanitation services (%), Population using at least basic sanitation services (%), Population using safely managed sanitation services (%), Population using safely managed sanitation services (%), Population using safely managed sanitation services (%), Population using at least basic sanitation services (%), Population using at least basic sanitation services (%), Population using at least basic sanitation services (%), Population using safely managed sanitation services (%), Population using safely managed sanitation services (%), Population using safely managed sanitation services (%), Population using at least basic sanitation services (%), Population using at least basic sanitation services (%), Population using at least basic sanitation services (%), Population using safely managed sanitation services (%), Population using safely managed sanitation services (%), Population using safely managed sanitation services (%), Population using at least basic sanitation services (%), Population using at least basic sanitation services (%), Population using at least basic sanitation services (%), Population using safely managed sanitation services (%), Population using safely managed sanitation services (%), Population using safely managed sanitation services (%)
Country, Rural, Urban, Total, Rural, Urban, Total, Rural, Urban, Total, Rural, Urban, Total, Rural, Urban, Total, Rural, Urban, Total, Rural, Urban, Total, Rural, Urban, Total, Rural, Urban, Total, Rural, Urban, Total, Rural, Urban, Total, Rural, Urban, Total, Rural, Urban, Total, Rural, Urban, Total, Rural, Urban, Total, Rural, Urban, Total, Rural, Urban, Total, Rural, Urban, Total, Rural, Urban, Total, Rural, Urban, Total, Rural, Urban, Total, Rural, Urban, Total, Rural, Urban, Total, Rural, Urban, Total, Rural, Urban, Total, Rural, Urban, Total, Rural, Urban, Total, Rural, Urban, Total, Rural, Urban, Total, Rural, Urban, Total, Rural, Urban, Total, Rural, Urban, Total
Afghanistan,33,56,39,,,,32,55,38,,,,31,53,37,,,,31,51,36,,,,30,49,35,,,,29,47,34,,,,28,46,32,,,,27,44,31,,,,27,42,30,,,,26,40,29,,,,25,38,28,,,,24,37,27,,,,23,35,26,,,,23,33,25,,,,22,31,24,,,,22,31,24,,,
Albania,97,98,98,64,65,65,97,98,98,64,65,65,96,98,97,63,65,64,95,98,97,62,65,64,94,98,96,61,65,63,93,98,96,60,65,62,92,98,95,58,65,62,91,98,94,57,65,61,90,98,94,56,65,60,89,98,93,55,65,60,88,97,92,54,65,59,86,97,91,53,64,58,85,97,91,51,64,57,84,97,90,50,64,56,83,97,89,49,64,55,82,97,88,48,64,55
Algeria,82,90,87,24,17,19,82,90,87,24,17,19,81,90,87,24,17,19,80,90,87,24,17,20,80,90,87,24,18,20,79,90,87,24,18,20,78,90,86,24,18,20,78,90,86,24,18,20,77,91,86,24,18,20,76,91,86,24,18,20,76,91,85,24,19,21,75,91,85,24,19,21,74,91,85,24,19,21,74,91,84,24,19,21,73,91,84,24,19,21,72,91,84,24,19,21
Andorra,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95,95,95,100,100,100,86,86,86,100,100,100,77,77,77,100,100,100,68,68,68,100,100,100,60,60,60,100,100,100,51,51,51,100,100,100,42,42,42,100,100,100,33,33,33,100,100,100,24,24,24,100,100,100,15,15,15,100,100,100,6,6,6
Angola,21,62,39,,,,20,61,38,,,,20,60,37,,,,19,59,36,,,,18,58,34,,,,17,57,33,,,,16,56,32,,,,15,55,31,,,,14,54,29,,,,13,53,28,,,,12,52,27,,,,11,51,25,,,,10,50,24,,,,9,49,23,,,,8,49,22,,,,8,48,20,,,
Antigua and Barbuda,,,88,,,,,,88,,,,,,88,,,,,,87,,,,,,87,,,,,,86,,,,,,86,,,,,,86,,,,,,85,,,,,,85,,,,,,84,,,,,,84,,,,,,84,,,,,,83,,,,,,83,,,,,,82,,,
Argentina,94,95,95,,25,26,94,95,95,,25,27,94,95,95,,26,27,94,95,95,,26,27,94,95,95,,26,27,94,95,95,,26,27,94,95,95,,26,27,95,95,95,,26,28,95,95,95,,26,28,95,95,95,,26,28,95,95,95,,26,28,96,95,95,,26,28,96,95,95,,26,28,96,95,95,,26,28,96,95,95,,26,29,97,95,95,,27,29
