Country,Year,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%)
Albania,2009,12.9
Algeria,2013,77.2
Armenia,2010,39.2
Azerbaijan,2006,21.5
Bangladesh,2014,72.5
Barbados,2012,70
Belarus,2012,74.2
Belgium,1992,90.8
Belize,2011,73.1
Benin,2014,24.5
Bhutan,2010,84.6
Bolivia (Plurinational State of),2008,42.8
Bosnia and Herzegovina,2012,21.9
Botswana,1988,52.9
Brazil,2006,89.3
Bulgaria,1998,42.5
Burkina Faso,2015,37.1
Burundi,2011,32.6
Côte d'Ivoire,2012,30.9
Cabo Verde,2005,73.2
Cambodia,2014,56.4
Cameroon,2014,40.2
Central African Republic,2011,28.7
Chad,2015,17.5
China,2001,96.6
Colombia,2010,83.7
Comoros,2012,27.8
Congo,2015,38.5
Costa Rica,2011,89.1
Cuba,2014,88.4
Czechia,2008,85.7
Democratic People's Republic of Korea,2010,76.7
Democratic Republic of the Congo,2014,15.6
Dominican Republic,2014,84.1
Ecuador,2012,80.7
Egypt,2014,80
El Salvador,2014,81.9
Equatorial Guinea,2011,20.5
Eritrea,2010,19.6
Ethiopia,2015,57.6
France,2005,95.5
Gabon,2012,33.7
Gambia,2013,23.9
Georgia,2010,52.8
Ghana,2015,44.6
Guatemala,2015,65.5
Guinea,2012,15.7
Guinea-Bissau,2014,37.6
Guyana,2014,52.5
Haiti,2012,44.8
Honduras,2012,76
Hungary,1993,81.4
India,2008,63.9
Indonesia,2015,78.8
Iran (Islamic Republic of),2011,68.6
Iraq,2011,59.3
Italy,1996,54.5
Jamaica,2009,83
Jordan,2012,58
Kazakhstan,2011,79.6
Kenya,2015,75.4
Kiribati,2009,35.8
Kyrgyzstan,2012,62.1
Lao People's Democratic Republic,2012,61.3
Latvia,1995,65.6
Lesotho,2014,76.1
Liberia,2013,37.2
Libya,2007,29.6
Lithuania,1995,48.3
Madagascar,2009,49.6
Malawi,2014,73.6
Maldives,2009,42.7
Mali,2013,27.3
Marshall Islands,2007,80.5
Mauritania,2011,23.8
Mauritius,2014,40.8
Mexico,2009,81.9
Mongolia,2013,68.3
Montenegro,2013,34.2
Morocco,2011,74.8
Mozambique,2011,28.2
Myanmar,2001,58.5
Namibia,2013,75.1
Nauru,2007,42.5
Nepal,2011,56
Nicaragua,2007,84
Niger,2012,40.8
Nigeria,2011,28.8
Oman,2008,19.1
Pakistan,2013,47
Panama,2013,75.9
Papua New Guinea,2007,40.6
Paraguay,2008,84.1
Peru,2014,62.7
Philippines,2013,51.5
Qatar,2012,68.9
Republic of Moldova,2012,60.4
Romania,2004,46.5
Russian Federation,2011,72.4
Rwanda,2015,65
Saint Lucia,2012,72.4
Samoa,2014,39.4
Sao Tome and Principe,2014,50.3
Senegal,2015,46.3
Serbia,2014,25.1
Sierra Leone,2013,37.5
Slovenia,1995,71.7
Solomon Islands,2007,60
South Africa,2004,81.1
South Sudan,2010,5.6
Spain,1995,72.6
Sri Lanka,2007,69.4
Sudan,2014,30.2
Suriname,2010,73.2
Swaziland,2014,80.6
Syrian Arab Republic,2010,53.3
Tajikistan,2012,50.8
Thailand,2012,89.2
The former Yugoslav republic of Macedonia,2011,22.3
Timor-Leste,2010,38.3
Togo,2014,32.2
Tonga,2012,47.9
Trinidad and Tobago,2006,55.1
Tunisia,2012,73.2
Turkey,2013,59.7
Turkmenistan,2000,70.9
Tuvalu,2007,41
Uganda,2015,44.7
Ukraine,2012,68
United Republic of Tanzania,2010,45.9
United States of America,2010,83.4
Uzbekistan,1996,74
Vanuatu,2013,50.7
Venezuela (Bolivarian Republic of),1998,69.2
Viet Nam,2014,69.7
Yemen,2013,47
Zambia,2014,63.8
Zimbabwe,2014,86
