Country,Year,Women age 15-49 years who received a health check within 2 days after delivery of their most recent live birth in the last 2 years (%)
Afghanistan,2010,23.4
Armenia, 2015-2016,92.4
Armenia,2010,92
Azerbaijan,2011,83.3
Bangladesh,2014,33.9
Bangladesh,2013,40.4
Bangladesh,2011,27.2
Barbados,2012,96.9
Belarus,2012,99.7
Belize,2015,96.4
Belize,2011,94.8
Benin,2014,78.2
Benin,2012,51
Bhutan,2010,41.2
Burkina Faso,2010,71.9
Burundi,2010,29.9
Cambodia,2014,90.3
Cambodia,2010,70.4
Cameroon,2014,65
Cameroon,2011,37.2
Chad, 2014-2015,16
Colombia,2010,1.2
Comoros,2012,49
Congo, 2014-2015,79.9
Congo,2012,63.8
Côte d'Ivoire, 2011-2012,70.4
Cuba,2014,99.2
Democratic Republic of the Congo,2013,44.2
Dominican Republic,2014,94.5
Dominican Republic,2013,84.2
Egypt,2014,81.5
El Salvador,2014,94
Ethiopia,2014,13.2
Ethiopia,2011,6.7
Gabon,2012,59.6
Gambia,2013,75.6
Ghana,2014,81.1
Ghana,2011,82.5
Guatemala,2014,75.2
Guinea,2012,37.1
Guinea-Bissau,2014,47.8
Guyana,2014,93
Haiti,2012,32.1
Honduras,2011,84.9
Indonesia,2012,80.4
Jordan,2012,82
Kazakhstan,2015,97.5
Kenya,2014,52.9
Kyrgyzstan,2014,97.8
Kyrgyzstan,2012,95.9
Lao People's Democratic Republic, 2011-2012,39.5
Lesotho,2014,62
Liberia,2013,70.8
Malawi,2013,75.1
Malawi,2010,43.1
Mali,2015,58.1
Mali,2012,40
Mauritania,2015,57.3
Mauritania,2011,9.1
Mexico,2015,95.2
Mongolia,2013,95.4 95.4
Montenegro,2013,94.9
Myanmar, 2015-2016,71.2
Namibia,2013,69
Nepal,2014,57.9
Nepal,2011,44.6
Niger,2012,36.9
Nigeria,2013,39.7
Oman,2014,94.9
Pakistan,2012,60.4
Panama,2013,91.8
Peru,2014,93
Peru,2012,93.1
Philippines,2013,72
Rwanda, 2014-2015,41.6
Rwanda,2010,17.6
Saint Lucia,2012,90.2
Samoa,2014,63.4
Sao Tome and Principe,2014,86.8
Senegal,2015,88
Senegal,2013,66.6
Senegal,2010,68.7
Sierra Leone,2013,73.2
Sudan,2014,26.6
Swaziland,2014,87.2
Tajikistan,2012,80.5
Togo,2014,70.8
Tunisia, 2011-2012,91.5
Turkey,2013,87.7
Turkmenistan,2015,99.8
Uganda,2011,33.2
Ukraine,2012,95.6
United Republic of Tanzania,2010,30.8
Viet Nam,2014,89.8
Yemen,2013,19.9
Zambia,2014,63.4
Zimbabwe,2014,77.3
Zimbabwe,2010,27.7
