,Country Code,Year,TotalXpd,Country Name,Region,PCAPXpd,IncomeGroup,Mortality
0,AFG,2003,8.81605343,Afghanistan,South Asia,19.33,Low income,118.3
1,AGO,2003,4.40528442,Angola,Sub-Saharan Africa,37.45,Lower middle income,185.7
2,ALB,2003,6.26700723,Albania,Europe & Central Asia,112.63,Upper middle income,22.4
3,AND,2003,5.74503291,Andorra,Europe & Central Asia,1827.84,High income,4.1
4,ARE,2003,2.64640737,United Arab Emirates,Middle East & North Africa,907.58,High income,10.3
5,ARG,2003,8.21606274,Argentina,Latin America & Caribbean,277.94,Upper middle income,17.6
6,ARM,2003,5.56388068,Armenia,Europe & Central Asia,51.51,Lower middle income,25.9
7,ATG,2003,4.53434099,Antigua and Barbuda,Latin America & Caribbean,470.78,High income,13.1
8,AUS,2003,8.31845119,Australia,East Asia & Pacific,2370.88,High income,5.9
9,AUT,2003,10.48033992,Austria,Europe & Central Asia,3285.6,High income,5.2
10,AZE,2003,6.56328804,Azerbaijan,Europe & Central Asia,57.04,Upper middle income,59.5
11,BDI,2003,5.24840706,Burundi,Sub-Saharan Africa,5.56,Low income,136.0
12,BEL,2003,9.30359795,Belgium,Europe & Central Asia,2800.31,High income,5.3
13,BEN,2003,4.63066141,Benin,Sub-Saharan Africa,21.49,Low income,132.5
14,BFA,2003,5.60978869,Burkina Faso,Sub-Saharan Africa,18.64,Low income,167.9
15,BGD,2003,2.51003846,Bangladesh,South Asia,10.85,Lower middle income,74.3
16,BGR,2003,7.43475437,Bulgaria,Europe & Central Asia,201.88,Upper middle income,15.1
17,BHR,2003,3.73972896,Bahrain,Middle East & North Africa,543.82,High income,11.3
18,BHS,2003,5.618002099999999,"Bahamas, The",Latin America & Caribbean,1236.43,High income,16.3
19,BIH,2003,7.9408288,Bosnia and Herzegovina,Europe & Central Asia,176.8,Upper middle income,9.2
20,BLR,2003,6.58928033,Belarus,Europe & Central Asia,119.76,Upper middle income,10.0
21,BLZ,2003,4.534822900000001,Belize,Latin America & Caribbean,166.87,Upper middle income,22.0
22,BOL,2003,5.30411075,Bolivia,Latin America & Caribbean,49.38,Lower middle income,68.1
23,BRA,2003,6.94296392,Brazil,Latin America & Caribbean,211.33,Upper middle income,29.6
24,BRB,2003,5.81503159,Barbados,Latin America & Caribbean,698.67,High income,15.4
25,BRN,2003,3.09075683,Brunei Darussalam,East Asia & Pacific,579.79,High income,11.8
26,BTN,2003,4.904105400000001,Bhutan,South Asia,49.48,Lower middle income,65.3
27,BWA,2003,4.64786115,Botswana,Sub-Saharan Africa,192.84,Upper middle income,78.6
28,CAF,2003,4.30920674,Central African Republic,Sub-Saharan Africa,12.52,Low income,167.2
29,CAN,2003,9.54031491,Canada,North America,2690.51,High income,6.1
30,CHE,2003,10.933913,Switzerland,Europe & Central Asia,5001.95,High income,5.3
31,CHL,2003,7.33944363,Chile,Latin America & Caribbean,352.96,High income,9.5
32,CHN,2003,4.82123292,China,East Asia & Pacific,61.59,Upper middle income,28.9
33,CIV,2003,4.65208666,Cote d'Ivoire,Sub-Saharan Africa,40.71,Lower middle income,134.5
34,CMR,2003,4.97339975,Cameroon,Sub-Saharan Africa,39.34,Lower middle income,147.0
35,COD,2003,3.20376686,"Congo, Dem. Rep.",Sub-Saharan Africa,5.44,Low income,146.7
36,COG,2003,2.61050747,"Congo, Rep.",Sub-Saharan Africa,27.39,Lower middle income,103.9
37,COL,2003,5.92269295,Colombia,Latin America & Caribbean,132.98,Upper middle income,22.9
38,COM,2003,3.64985651,Comoros,Sub-Saharan Africa,19.66,Low income,102.6
39,CPV,2003,4.99736722,Cabo Verde,Sub-Saharan Africa,87.92,Lower middle income,29.0
40,CRI,2003,8.44923734,Costa Rica,Latin America & Caribbean,358.12,Upper middle income,11.2
41,CUB,2003,6.31477793,Cuba,Latin America & Caribbean,201.88,Upper middle income,7.5
42,CYP,2003,6.83046446,Cyprus,Europe & Central Asia,1260.41,High income,5.6
43,CZE,2003,7.13181689,Czech Republic,Europe & Central Asia,666.81,High income,4.8
44,DEU,2003,10.61578862,Germany,Europe & Central Asia,3222.75,High income,5.0
45,DJI,2003,6.2210856,Djibouti,Middle East & North Africa,51.6,Lower middle income,93.4
46,DMA,2003,4.58840093,Dominica,Latin America & Caribbean,229.29,Upper middle income,15.3
47,DNK,2003,9.50939145,Denmark,Europe & Central Asia,3756.11,High income,5.2
48,DOM,2003,5.53403296,Dominican Republic,Latin America & Caribbean,123.7,Upper middle income,38.1
49,DZA,2003,3.60102674,Algeria,Middle East & North Africa,75.44,Upper middle income,36.5
50,ECU,2003,6.46381498,Ecuador,Latin America & Caribbean,157.75,Upper middle income,30.9
51,EGY,2003,5.41204355,"Egypt, Arab Rep.",Middle East & North Africa,55.49,Lower middle income,39.7
52,ERI,2003,3.50246439,Eritrea,Sub-Saharan Africa,7.76,Low income,76.4
53,ESP,2003,7.98814212,Spain,Europe & Central Asia,1687.9,High income,5.0
54,EST,2003,4.91867721,Estonia,Europe & Central Asia,352.4,High income,8.5
55,ETH,2003,4.63536942,Ethiopia,Sub-Saharan Africa,5.51,Low income,124.0
56,FIN,2003,8.15119542,Finland,Europe & Central Asia,2571.71,High income,4.0
57,FJI,2003,3.35233567,Fiji,East Asia & Pacific,95.08,Upper middle income,22.3
58,FRA,2003,10.42832417,France,Europe & Central Asia,3115.24,High income,4.9
59,FSM,2003,9.69052452,"Micronesia, Fed. Sts.",East Asia & Pacific,222.27,Lower middle income,49.2
60,GAB,2003,3.47902086,Gabon,Sub-Saharan Africa,171.49,Upper middle income,79.9
61,GBR,2003,7.81211385,United Kingdom,Europe & Central Asia,2462.06,High income,6.3
62,GEO,2003,8.48522551,Georgia,Europe & Central Asia,74.42,Lower middle income,28.8
63,GHA,2003,3.12389313,Ghana,Sub-Saharan Africa,18.48,Lower middle income,91.4
64,GIN,2003,3.44611461,Guinea,Sub-Saharan Africa,12.8,Low income,144.3
65,GMB,2003,4.21918804,"Gambia, The",Sub-Saharan Africa,15.22,Low income,104.5
66,GNB,2003,5.61914548,Guinea-Bissau,Sub-Saharan Africa,19.1,Low income,157.5
67,GNQ,2003,2.22972919,Equatorial Guinea,Sub-Saharan Africa,94.42,Upper middle income,139.2
68,GRC,2003,8.60848417,Greece,Europe & Central Asia,1580.46,High income,5.2
69,GRD,2003,5.89385798,Grenada,Latin America & Caribbean,340.27,Upper middle income,15.3
70,GTM,2003,6.88412953,Guatemala,Latin America & Caribbean,120.0,Lower middle income,46.1
71,GUY,2003,5.96831608,Guyana,Latin America & Caribbean,59.63,Upper middle income,43.3
72,HND,2003,8.29433272,Honduras,Latin America & Caribbean,103.07,Lower middle income,32.4
73,HRV,2003,6.34665765,Croatia,Europe & Central Asia,512.02,Upper middle income,7.4
74,HTI,2003,5.31704135,Haiti,Latin America & Caribbean,16.74,Low income,94.9
75,HUN,2003,8.42191484,Hungary,Europe & Central Asia,705.83,High income,8.4
76,IDN,2003,2.53372429,Indonesia,East Asia & Pacific,27.0,Lower middle income,45.5
77,IND,2003,4.29653759,India,South Asia,23.65,Lower middle income,81.0
78,IRL,2003,7.04763499,Ireland,Europe & Central Asia,2925.2,High income,6.0
79,IRN,2003,5.41582194,"Iran, Islamic Rep.",Middle East & North Africa,110.83,Upper middle income,28.7
80,IRQ,2003,4.36364226,Iraq,Middle East & North Africa,16.41,Upper middle income,42.6
81,ISL,2003,10.07437408,Iceland,Europe & Central Asia,3945.3,High income,3.4
82,ISR,2003,7.43618123,Israel,Middle East & North Africa,1394.67,High income,6.1
83,ITA,2003,8.17185036,Italy,Europe & Central Asia,2246.11,High income,4.8
84,JAM,2003,4.55821974,Jamaica,Latin America & Caribbean,162.22,Upper middle income,20.5
85,JOR,2003,9.15453269,Jordan,Middle East & North Africa,185.1,Lower middle income,25.7
86,JPN,2003,7.99594428,Japan,East Asia & Pacific,2694.43,High income,4.0
87,KAZ,2003,3.69562808,Kazakhstan,Europe & Central Asia,75.36,Upper middle income,36.2
88,KEN,2003,4.44734056,Kenya,Sub-Saharan Africa,19.76,Lower middle income,89.8
89,KGZ,2003,5.42793328,Kyrgyz Republic,Europe & Central Asia,20.63,Lower middle income,43.1
90,KHM,2003,6.74284618,Cambodia,East Asia & Pacific,24.38,Lower middle income,78.9
91,KIR,2003,9.97939239,Kiribati,East Asia & Pacific,101.2,Lower middle income,65.7
92,KNA,2003,4.94841062,St. Kitts and Nevis,Latin America & Caribbean,480.46,High income,18.3
93,KOR,2003,4.92542518,"Korea, Rep.",East Asia & Pacific,700.36,High income,6.3
94,KWT,2003,3.22905642,Kuwait,Middle East & North Africa,737.54,High income,12.1
95,LAO,2003,4.91118515,Lao PDR,East Asia & Pacific,17.73,Lower middle income,104.1
96,LBN,2003,9.302393400000001,Lebanon,Middle East & North Africa,496.31,Upper middle income,16.4
97,LBR,2003,3.43834059,Liberia,Sub-Saharan Africa,4.5,Low income,146.9
98,LBY,2003,4.06371504,Libya,Middle East & North Africa,190.07,Upper middle income,25.5
99,LCA,2003,6.10343642,St. Lucia,Latin America & Caribbean,304.04,Upper middle income,17.3
100,LKA,2003,3.9535948,Sri Lanka,South Asia,38.85,Lower middle income,15.3
101,LSO,2003,7.1297893,Lesotho,Sub-Saharan Africa,36.39,Lower middle income,114.6
102,LTU,2003,6.45979375,Lithuania,Europe & Central Asia,352.04,High income,9.6
103,LUX,2003,7.66728887,Luxembourg,Europe & Central Asia,4987.75,High income,3.9
104,LVA,2003,6.15252413,Latvia,Europe & Central Asia,300.98,High income,11.8
105,MAR,2003,5.25177742,Morocco,Middle East & North Africa,87.77,Lower middle income,43.9
106,MCO,2003,3.9340387000000003,Monaco,Europe & Central Asia,4216.8,High income,4.7
107,MDA,2003,8.23547436,Moldova,Europe & Central Asia,45.21,Lower middle income,22.8
108,MDG,2003,4.81306658,Madagascar,Sub-Saharan Africa,15.28,Low income,91.2
109,MDV,2003,5.89706416,Maldives,South Asia,208.58,Upper middle income,29.4
110,MEX,2003,6.02185177,Mexico,Latin America & Caribbean,412.98,Upper middle income,22.7
111,MHL,2003,16.86879662,Marshall Islands,East Asia & Pacific,411.08,Upper middle income,40.2
112,MKD,2003,9.17089411,"Macedonia, FYR",Europe & Central Asia,223.7,Upper middle income,14.2
113,MLI,2003,6.25006856,Mali,Sub-Saharan Africa,21.83,Low income,192.0
114,MLT,2003,8.05680621,Malta,Middle East & North Africa,1092.51,High income,7.1
115,MMR,2003,1.96630795,Myanmar,East Asia & Pacific,3.71,Lower middle income,82.8
116,MNE,2003,8.91132279,Montenegro,Europe & Central Asia,247.8,Upper middle income,12.2
117,MNG,2003,6.17936733,Mongolia,East Asia & Pacific,39.93,Lower middle income,49.4
118,MOZ,2003,6.3923100999999996,Mozambique,Sub-Saharan Africa,14.97,Low income,148.3
119,MRT,2003,4.52840343,Mauritania,Sub-Saharan Africa,23.79,Lower middle income,111.9
120,MUS,2003,4.14728086,Mauritius,Sub-Saharan Africa,192.4,Upper middle income,15.6
121,MWI,2003,6.34731849,Malawi,Sub-Saharan Africa,12.73,Low income,135.9
122,MYS,2003,3.95394002,Malaysia,East Asia & Pacific,175.21,Upper middle income,8.6
123,NAM,2003,6.52403029,Namibia,Sub-Saharan Africa,162.44,Upper middle income,75.3
124,NER,2003,6.23256935,Niger,Sub-Saharan Africa,13.13,Low income,195.2
125,NGA,2003,4.04693455,Nigeria,Sub-Saharan Africa,38.5,Lower middle income,169.9
126,NIC,2003,6.11615628,Nicaragua,Latin America & Caribbean,62.11,Lower middle income,34.6
127,NLD,2003,8.45717558,Netherlands,Europe & Central Asia,2986.76,High income,5.7
128,NOR,2003,9.85260059,Norway,Europe & Central Asia,4951.23,High income,4.4
129,NPL,2003,5.48432085,Nepal,South Asia,14.26,Low income,68.7
130,NRU,2003,14.40901784,Nauru,East Asia & Pacific,343.97,Upper middle income,39.0
131,NZL,2003,7.71206749,New Zealand,East Asia & Pacific,1623.88,High income,6.9
132,OMN,2003,3.17288586,Oman,Middle East & North Africa,287.8,High income,13.9
133,PAK,2003,2.60877636,Pakistan,South Asia,16.12,Lower middle income,105.7
134,PAN,2003,7.60445984,Panama,Latin America & Caribbean,307.1,Upper middle income,24.1
135,PER,2003,4.5988428,Peru,Latin America & Caribbean,100.8,Upper middle income,30.8
136,PHL,2003,3.24713196,Philippines,East Asia & Pacific,32.84,Lower middle income,37.4
137,PLW,2003,8.47729758,Palau,East Asia & Pacific,748.76,High income,24.3
138,PNG,2003,6.79231045,Papua New Guinea,East Asia & Pacific,43.55,Lower middle income,74.9
139,POL,2003,6.221791400000001,Poland,Europe & Central Asia,354.11,High income,8.1
140,PRT,2003,9.54101957,Portugal,Europe & Central Asia,1506.96,High income,5.6
141,PRY,2003,5.98546934,Paraguay,Latin America & Caribbean,70.32,Upper middle income,30.5
142,QAT,2003,4.14216222,Qatar,Middle East & North Africa,1458.93,High income,11.1
143,ROU,2003,5.29882356,Romania,Europe & Central Asia,146.7,Upper middle income,20.1
144,RUS,2003,5.60863706,Russian Federation,Europe & Central Asia,167.37,Upper middle income,16.1
145,RWA,2003,6.34215334,Rwanda,Sub-Saharan Africa,13.48,Low income,147.0
146,SAU,2003,4.01870035,Saudi Arabia,Middle East & North Africa,369.17,High income,19.3
147,SDN,2003,3.17703293,Sudan,Sub-Saharan Africa,22.34,Lower middle income,94.8
148,SEN,2003,5.39898595,Senegal,Sub-Saharan Africa,34.7,Low income,111.4
